LocalTime,y
2026-01-10,5.120626168310137
2026-01-11,5.002875034216049
2026-01-12,4.88368649064163
2026-01-13,4.8278355349253
2026-01-14,5.018883522653625
2026-01-15,4.907966400925732
2026-01-16,4.9936807917995125
2026-01-17,5.027833228860552
2026-01-18,4.9119419127322494
2026-01-19,4.794733717656826
2026-01-20,4.740303612208267
2026-01-21,4.927641193473853
2026-01-22,4.8184511249853275
2026-01-23,4.902445057756139
2026-01-24,4.935789760013097
2026-01-25,4.821746544802227
2026-01-26,4.706505566596663
2026-01-27,4.653481673262022
2026-01-28,4.8371349122259
2026-01-29,4.729661289692742
2026-01-30,4.811946555175494
2026-01-31,4.844489114302506
2026-02-01,4.73228234717101
2026-02-02,4.6189955362651185
2026-02-03,4.567363384731268
2026-02-04,4.74735816129958
2026-02-05,4.64159043135406
2026-02-06,4.722178741084428
2026-02-07,4.753924710365854
2026-02-08,4.6435428024820204
2026-02-09,4.532197190924206
2026-02-10,4.481942476632762
2026-02-11,4.65830448777553
2026-02-12,4.554232150871414
2026-02-13,4.6331351376166054
2026-02-14,4.664090032203139
2026-02-15,4.555521458536801
2026-02-16,4.446104159556566
2026-02-17,4.397212741647162
2026-02-18,4.569967502707185
2026-02-19,4.4675801130191815
2026-02-20,4.5448093312866895
2026-02-21,4.574978628455356
2026-02-22,4.468211927569485
2026-02-23,4.3607101351405015
2026-02-24,4.313168034418509
2026-02-25,4.482340880410984
2026-02-26,4.381628045731908
2026-02-27,4.457194972275795
2026-02-28,4.486584111684336
2026-03-01,4.381607885525195
2026-03-02,4.2760088739293565
2026-03-03,4.229802270863399
2026-03-04,4.395418357765209
2026-03-05,4.296369739399618
2026-03-06,4.3702857737215615
2026-03-07,4.3989001576634505
2026-03-08,4.295703071349207
2026-03-09,4.1919941947432235
2026-03-10,4.147109427486241
