Date,Cloud Amount Sat,Cloud Amount,EvapA,GloblRad,Precp,PrecpHour,PrecpMax10,PrecpMax60,RH,RHMin,SeaPres,StnPres,StnPresMax,StnPresMin,SunShine,SunshineRate,T Max,T Min,Td dew point,Temperature,TxSoil0cm,TxSoil100cm,TxSoil10cm,TxSoil30cm,TxSoil50cm,TxSoil5cm,UVI Max,VisbMean Auto,VisbMean,WD,WDGust,WS,WSGust
2025-03-01,,5.863535233425494,,,,,,,,,,,,,,,,,,,,,,,,,,,12.928517869964065,,,,
2025-03-02,,12.108649803940724,,,,,,,,,,,,,,,,,,,,,,,,,,,13.026479563512453,,,,
2025-03-03,,7.883062387765306,,,,,,,,,,,,,,,,,,,,,,,,,,,12.90246488480104,,,,
2025-03-04,,9.143151377023752,,,,,,,,,,,,,,,,,,,,,,,,,,,13.003632076106111,,,,
2025-03-05,,13.660637348508688,,,,,,,,,,,,,,,,,,,,,,,,,,,12.755089031378892,,,,
2025-03-06,,11.394978974130533,,,,,,,,,,,,,,,,,,,,,,,,,,,12.389578977327046,,,,
2025-03-07,,5.879567558905708,,,,,,,,,,,,,,,,,,,,,,,,,,,12.685340450609226,,,,
2026-02-24,,,3.1,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-25,9.9,,3.1,19.0,0.0,0.1,0.0,0.0,68.00005678981901,51.0,1019.4999983435092,1009.2999994898652,1007.9196122003824,1006.8999999040894,7.8,28.015,26.915,18.48518900454384,13.982757277688144,21.475,24.4,22.7,22.7,22.43,22.48834820851267,13.706139770038202,7.0,17.8,,201.9193548387097,336.0,1.205,7.366619948342376
2026-02-26,9.699367634827247,,3.2,19.0,0.0,0.1,0.0,0.0,67.84757033554145,53.0,1020.1532577314478,1008.9062699306076,1007.3120569993384,1006.837317815398,7.8,31.33568506577003,27.58728260869565,18.566813885039693,14.431805870612816,21.062500000000004,23.8,22.698525660168254,22.4,22.4175,22.455759315735254,12.525042175098198,7.0,31.60493421052632,,338.0806451612904,190.4309960837142,1.3979160847274787,7.339044629190804
2026-02-27,9.697399676228672,,3.3,19.0,0.0,0.1,0.0,0.0,69.81332239707956,50.0,1019.4833856523296,1006.6008218822446,1006.372014904052,1006.5239073719408,7.8,29.89715690814864,27.606925465838508,18.537334976851103,14.394974287951111,21.725,23.602,22.608774873659137,22.4,22.1675,22.360041762946523,12.473892545749347,7.0,28.58177083333333,,340.05586563973657,295.8970414543944,1.4052770580990064,7.538023575601987
2026-02-28,6.958515670581315,,3.2,19.0,0.0,0.1,0.0,0.0,68.6150643916463,49.0,1017.577365374702,1003.36369986318,1006.6438785410172,1006.93447505287,7.8,31.52890487820328,26.54415760869565,18.5151040357492,14.80535837252653,21.924999999999997,23.11195,22.552863391709373,22.4,21.769375000000004,22.295078450390136,12.44329529076873,7.0,29.20024509803922,,325.52234432234434,254.6183464659589,1.4389601645772292,6.793044641583093
2026-03-01,6.316922014781561,,3.3,19.0,0.0,0.1,0.0,0.0,65.37354298091756,51.0,1016.8537194838432,1002.1564647628444,1006.872794836716,1007.7544557446732,8.3,32.83598141174075,27.172808924485125,18.496849118623317,14.43419118229538,21.175,22.8208603,22.5256030371898,22.7,21.835921052631583,22.21342355887913,12.365782948871171,7.0,32.408357570451415,,128.51424345410055,141.12220798228972,1.6438635347179829,7.328071982072003
2026-03-02,6.62411005667033,,3.2,19.0,0.0,0.1,0.0,0.0,65.13264096792733,48.0,1016.8476746613712,1001.6530483690376,1007.2382742634196,1008.554807045544,7.8,32.107973697318826,26.91644927536232,18.471895792379662,14.598912337871134,20.56041666666667,22.436621896,22.565771777468143,22.4,21.94458333333333,22.26093599640464,12.2937472727504,7.0,26.44764254385965,,357.20590306604595,214.4788342875509,1.5753052645599546,8.894634606963045
2026-03-03,12.085654361659138,,,19.0,,0.1,,,66.07027509461845,50.0,1017.8531658180806,1001.2194740115136,1007.9946444747792,1008.9559724131692,7.8,31.331659002329356,27.42478260869565,18.426813186813185,15.2994625401058,19.815441176470596,22.72191891097,22.564451296366745,22.7,21.980000000000004,22.257726173553863,12.242597643400616,7.0,29.306678921568626,,340.44157025769925,211.1629928454992,1.8329160061849332,8.700247765606402
