date,forecast,lower_bound,upper_bound
2026-03-01,6.1766,5.312951684470615,7.11555103712397
2026-03-02,5.792499889473837,4.981538069362216,6.671707733788808
2026-03-03,5.795830689944623,4.983382510659806,6.674191604069911
2026-03-04,5.799161490415403,4.9852269519573875,6.676675474351008
2026-03-05,5.802492290886183,4.987071393254972,6.679159344632105
2026-03-06,5.805823091356964,4.988915834552555,6.681643214913202
2026-03-07,5.809153891827744,4.990760275850139,6.684127085194301
2026-03-08,5.812484692298526,4.9926047171477235,6.686610955475398
2026-03-09,5.815815492769306,4.994449158445307,6.689094825756496
2026-03-10,5.819146293240088,4.9962935997428914,6.691578696037593
2026-03-11,5.822477093710867,4.998138041040475,6.694062566318691
2026-03-12,5.825807894181648,4.999982482338059,6.696546436599789
2026-03-13,5.829138694652428,5.001826923635643,6.699030306880886
2026-03-14,5.83246949512321,5.003671364933227,6.701514177161985
2026-03-15,5.835800295593991,5.00551580623081,6.70399804744308
2026-03-16,5.839131096064771,5.0073602475283945,6.706481917724179
2026-03-17,5.842461896535558,5.009204688825984,6.708965788005282
2026-03-18,5.845792697006337,5.011049130123567,6.711449658286379
2026-03-19,5.849123497477119,5.012893571421151,6.713933528567476
2026-03-20,5.852454297947897,5.014738012718734,6.716417398848573
2026-03-21,5.855785098418679,5.0165824540163175,6.71890126912967
2026-03-22,5.85911589888946,5.018426895313902,6.721385139410768
2026-03-23,5.86244669936024,5.020271336611486,6.7238690096918665
2026-03-24,5.8657774998310215,5.02211577790907,6.726352879972964
2026-03-25,5.869108300301801,5.023960219206654,6.728836750254061
2026-03-26,5.872439100772584,5.025804660504238,6.731320620535159
2026-03-27,5.875769901243363,5.0276491018018215,6.733804490816257
2026-03-28,5.879100701714145,5.029493543099406,6.736288361097355
2026-03-29,5.882431502184924,5.0313379843969885,6.738772231378451
2026-03-30,5.885762302655706,5.033182425694574,6.741256101659549
2026-03-31,5.889093103126487,5.035026866992158,6.743739971940648
2026-04-01,5.892423903597272,5.036871308289746,6.746223842221749
2026-04-02,5.895754704068054,5.03871574958733,6.7487077125028465
2026-04-03,5.899085504538835,5.040560190884915,6.751191582783946
2026-04-04,5.902416305009614,5.042404632182497,6.753675453065042
2026-04-05,5.905747105480394,5.044249073480081,6.7561593233461394
2026-04-06,5.909077905951174,5.046093514777664,6.758643193627236
2026-04-07,5.912408706421956,5.047937956075248,6.761127063908334
2026-04-08,5.915739506892737,5.049782397372834,6.763610934189432
2026-04-09,5.919070307363518,5.051626838670417,6.76609480447053
2026-04-10,5.922401107834298,5.053471279968001,6.768578674751627
2026-04-11,5.925731908305078,5.0553157212655835,6.771062545032724
2026-04-12,5.929062708775859,5.057160162563169,6.773546415313823
2026-04-13,5.93239350924664,5.059004603860752,6.77603028559492
2026-04-14,5.935724309717422,5.060849045158337,6.778514155876017
2026-04-15,5.939055110188207,5.062693486455925,6.7809980261571186
2026-04-16,5.942385910658988,5.06453792775351,6.783481896438218
2026-04-17,5.945716711129767,5.066382369051092,6.785965766719315
2026-04-18,5.949047511600547,5.068226810348676,6.7884496370004115
2026-04-19,5.952378312071329,5.070071251646261,6.790933507281509
2026-04-20,5.9557091125421096,5.071915692943844,6.793417377562608
2026-04-21,5.95903991301289,5.073760134241428,6.795901247843704
2026-04-22,5.962370713483672,5.075604575539012,6.798385118124803
2026-04-23,5.96570151395445,5.077449016836595,6.800868988405899
2026-04-24,5.969032314425232,5.079293458134178,6.8033528586869965
2026-04-25,5.972363114896012,5.081137899431764,6.805836728968095
2026-04-26,5.9756939153667945,5.082982340729348,6.808320599249193
2026-04-27,5.979024715837574,5.084826782026931,6.810804469530289
2026-04-28,5.982355516308356,5.086671223324515,6.813288339811389
2026-04-29,5.985686316779135,5.088515664622098,6.815772210092484
2026-04-30,5.989017117249921,5.090360105919688,6.818256080373587
2026-05-01,5.992347917720703,5.092204547217271,6.820739950654684
2026-05-02,5.995678718191484,5.094048988514856,6.823223820935783
2026-05-03,5.9990095186622625,5.095893429812438,6.82570769121688
2026-05-04,6.002340319133044,5.097737871110023,6.828191561497977
2026-05-05,6.005671119603824,5.099582312407606,6.830675431779074
2026-05-06,6.009001920074604,5.10142675370519,6.833159302060172
2026-05-07,6.012332720545387,5.103271195002775,6.835643172341271
2026-05-08,6.015663521016165,5.105115636300358,6.838127042622367
2026-05-09,6.018994321486947,5.106960077597942,6.840610912903465
2026-05-10,6.022325121957728,5.108804518895526,6.843094783184562
2026-05-11,6.025655922428508,5.110648960193109,6.845578653465661
2026-05-12,6.02898672289929,5.112493401490695,6.848062523746759
2026-05-13,6.032317523370069,5.114337842788277,6.850546394027855
2026-05-14,6.0356483238408565,5.116182284085866,6.853030264308958
2026-05-15,6.038979124311635,5.118026725383451,6.855514134590055
2026-05-16,6.042309924782416,5.119871166681034,6.857998004871153
2026-05-17,6.045640725253198,5.121715607978619,6.86048187515225
2026-05-18,6.048971525723979,5.123560049276202,6.862965745433349
2026-05-19,6.052302326194758,5.125404490573786,6.865449615714446
2026-05-20,6.0556331266655405,5.12724893187137,6.867933485995543
2026-05-21,6.058963927136321,5.129093373168954,6.87041735627664
2026-05-22,6.0622947276071,5.130937814466537,6.872901226557738
2026-05-23,6.065625528077882,5.132782255764121,6.875385096838836
2026-05-24,6.068956328548663,5.134626697061706,6.877868967119935
2026-05-25,6.072287129019443,5.136471138359289,6.8803528374010305
2026-05-26,6.075617929490224,5.138315579656873,6.882836707682128
2026-05-27,6.078948729961005,5.140160020954457,6.885320577963225
2026-05-28,6.0822795304317845,5.14200446225204,6.8878044482443235
2026-05-29,6.085610330902571,5.143848903549628,6.890288318525425
2026-05-30,6.088941131373351,5.145693344847213,6.892772188806522
2026-05-31,6.092271931844131,5.147537786144796,6.895256059087621
