date,forecast,lower_bound,upper_bound,P_mapped_Wh
2026-03-01,5.0157669276087375,4.622730000000001,5.861711049016695,2.609967401889051
2026-03-02,5.016274972681683,4.622730000000001,5.871950637719238,2.6229981694825053
2026-03-03,5.016710131133892,4.622730000000001,5.881944987317789,3.2440254835705726
2026-03-04,5.017071507208862,4.622730000000001,5.8916775329072975,4.48004146334974
2026-03-05,5.017358356691604,4.622730000000001,5.901132150200944,8.26643292004789
2026-03-06,5.017570088689488,4.622730000000001,5.910293190496393,8.236716413462817
2026-03-07,5.0177062670463535,4.622730000000001,5.919145514583185,7.256548431555141
2026-03-08,5.0177666113863335,4.622730000000001,5.927674525509094,7.657800726353598
2026-03-09,5.017750997784676,4.622730000000001,5.935866200126026,6.921403445523479
2026-03-10,5.0176594590639345,4.622730000000001,5.943707119339208,5.71907676732739
2026-03-11,5.017492184714701,4.622730000000001,5.951184496986434,5.913108075029931
2026-03-12,5.0172495204411485,4.622730000000001,5.958286207277679,2.1789986005055204
2026-03-13,5.01693196733249,4.622730000000001,5.96500081072892,3.864099326859119
2026-03-14,5.016540180662488,4.622730000000001,5.971317578527748,4.709669014234402
2026-03-15,5.01607496832006,4.622730000000001,5.977226515272245,4.807717594785153
2026-03-16,5.015537288874955,4.622730000000001,5.982718380028676,7.160406792603431
2026-03-17,5.014928249283443,4.622730000000001,5.9877847056577655,6.477244964746574
2026-03-18,5.014249102239817,4.622730000000001,5.992417816363555,6.318015341226553
2026-03-19,5.013501243180456,4.622730000000001,5.99661084342337,5.334192387920712
2026-03-20,5.012686206948046,4.622730000000001,6.0003577390619025,7.063629506452041
2026-03-21,5.011805664124437,4.622730000000001,6.00365328843709,6.439741779965411
2026-03-22,5.0108614170414425,4.622730000000001,6.006493119710139,6.14035194891579
2026-03-23,5.009855395479697,4.622730000000001,6.008873712176849,5.365498012504988
2026-03-24,5.008789652066502,4.622730000000001,6.010792402442252,5.713355942530264
2026-03-25,5.007666357384314,4.622730000000001,6.012247388625416,5.564137762405214
2026-03-26,5.006487794802287,4.622730000000001,6.0132377325862025,4.818364685379805
2026-03-27,5.005256355043971,4.622730000000001,6.013763360170721,5.931700755620593
2026-03-28,5.003974530504924,4.622730000000001,6.013825059477083,4.551551773313821
2026-03-29,5.0026449093346255,4.622730000000001,6.013424477148098,4.544718565917253
2026-03-30,5.001270169297675,4.622730000000001,6.01256411270237,3.204615357190368
2026-03-31,4.999853071429814,4.622730000000001,6.011247310920183,1.9393596062258875
2026-04-01,4.998396453504785,4.622730000000001,6.009478252305376,5.456713385659172
2026-04-02,4.9969032233285775,4.622730000000001,6.0072619416491895,5.942983493414926
2026-04-03,4.9953763518779635,4.622730000000001,6.004604194726762,7.321225534122655
2026-04-04,4.9938188663006455,4.622730000000001,6.001511623161624,7.1718484421976845
2026-04-05,4.992233842794687,4.622730000000001,5.997991617497954,4.732711225222828
2026-04-06,4.990624399385148,4.622730000000001,5.994052328524955,6.062167343355061
2026-04-07,4.988993688616129,4.622730000000001,5.989702646901832,6.265097711853132
2026-04-08,4.987344890176593,4.622730000000001,5.984952181136195,6.819858805374484
2026-04-09,4.985681203478523,4.622730000000001,5.979811233972607,6.019420069176532
2026-04-10,4.984005840206023,4.622730000000001,5.9742907772520235,4.961067481708128
2026-04-11,4.982322016854065,4.622730000000001,5.968402425306472,6.345824906212584
