LocalTime,y
2025-12-11,5.384558577600013
2025-12-12,5.606791988204687
2025-12-13,5.596873013121952
2025-12-14,5.586962093107828
2025-12-15,5.577059182554026
2025-12-16,5.567164236329559
2025-12-17,5.5572772097734715
2025-12-18,5.547398058687725
2025-12-19,5.5375267393302146
2025-12-20,5.527663208407928
2025-12-21,5.51780742307024
2025-12-22,5.507959340902334
2025-12-23,5.498118919918758
2025-12-24,5.4882861185570935
2025-12-25,5.4784608956717635
2025-12-26,5.468643210527947
2025-12-27,5.45883302279561
2025-12-28,5.449030292543658
2025-12-29,5.4392349802341915
2025-12-30,5.429447046716875
2025-12-31,5.419666453223407
2026-01-01,5.4098931613620955
2026-01-02,5.400127133112541
2026-01-03,5.390368330820399
2026-01-04,5.380616717192266
2026-01-05,5.370872255290635
2026-01-06,5.361134908528958
2026-01-07,5.351404640666789
2026-01-08,5.341681415805025
2026-01-09,5.331965198381225
2026-01-10,5.322255953165012
2026-01-11,5.312553645253567
2026-01-12,5.3028582400671915
2026-01-13,5.293169703344956
2026-01-14,5.283488001140425
2026-01-15,5.273813099817451
2026-01-16,5.26414496604605
2026-01-17,5.254483566798346
2026-01-18,5.244828869344583
2026-01-19,5.23518084124921
2026-01-20,5.22553945036703
2026-01-21,5.215904664839417
2026-01-22,5.206276453090602
2026-01-23,5.196654783824011
2026-01-24,5.187039626018672
2026-01-25,5.1774309489256884
2026-01-26,5.167828722064758
2026-01-27,5.158232915220763
2026-01-28,5.148643498440407
2026-01-29,5.139060442028917
2026-01-30,5.1294837165467895
2026-01-31,5.119913292806601
2026-02-01,5.1103491418698646
2026-02-02,5.100791235043935
2026-02-03,5.091239543878972
2026-02-04,5.081694040164949
2026-02-05,5.07215469592871
2026-02-06,5.0626214834310685
2026-02-07,5.053094375163966
2026-02-08,5.043573343847665
2026-02-09,5.034058362427988
2026-02-10,5.024549404073601
2026-02-11,5.015046442173348
2026-02-12,5.0055494503336115
2026-02-13,4.996058402375731
2026-02-14,4.986573272333445
2026-02-15,4.977094034450391
2026-02-16,4.967620663177628
2026-02-17,4.958153133171206
2026-02-18,4.948691419289773
2026-02-19,4.939235496592215
2026-02-20,4.929785340335333
2026-02-21,4.920340925971557
2026-02-22,4.910902229146691
2026-02-23,4.901469225697702
2026-02-24,4.892041891650525
2026-02-25,4.882620203217916
2026-02-26,4.873204136797332
2026-02-27,4.863793668968844
2026-02-28,4.854388776493073
2026-03-01,4.84498943630917
2026-03-02,4.835595625532813
2026-03-03,4.82620732145424
2026-03-04,4.816824501536317
2026-03-05,4.807447143412614
2026-03-06,4.798075224885532
2026-03-07,4.788708723924442
2026-03-08,4.779347618663859
2026-03-09,4.769991887401635
2026-03-10,4.760641508597184
