date,forecast,lower_bound,upper_bound,P_mapped_Wh
2026-03-01,6.1766,4.601836715614587,7.135133261727905,2.609967401889051
2026-03-02,5.926850560993441,4.601836715614587,7.135133261727903,2.6229981694825053
2026-03-03,5.919694371079181,4.600372889388969,7.133258902241561,3.2440254835705726
2026-03-04,5.91636503145066,4.598241051865069,7.1307122826399105,4.48004146334974
2026-03-05,5.9136661246191204,4.595470716348455,7.127524040137741,8.26643292004789
2026-03-06,5.909633576048878,4.592081633034636,7.123715050934177,8.236716413462817
2026-03-07,5.903099173986095,4.588106796368027,7.119319434508182,7.256548431555141
2026-03-08,5.892953647307163,4.583605765079371,7.114397870602748,7.657800726353598
2026-03-09,5.880292508992727,4.578664154633846,7.109037088638286,6.921403445523479
2026-03-10,5.868573546943416,4.573387928470369,7.103344155944008,5.71907676732739
2026-03-11,5.859016243693783,4.567887152983726,7.097430229767147,5.913108075029931
2026-03-12,5.849868612822864,4.562257648433493,7.0913922052519505,2.1789986005055204
2026-03-13,5.843538541614421,4.5565849773600835,7.085316700976822,3.864099326859119
2026-03-14,5.83871395055223,4.5509423832647755,7.07927799481421,4.709669014234402
2026-03-15,5.833926984136089,4.545385920540526,7.073333151107647,4.807717594785153
2026-03-16,5.830206504733282,4.539966174412787,7.067533737932623,7.160406792603431
2026-03-17,5.82592687677317,4.534731724714193,7.0619292882723395,6.477244964746574
2026-03-18,5.820105341441926,4.53005757876685,7.057074056620016,6.318015341226553
2026-03-19,5.812855906143018,4.525951966488141,7.052968444341308,5.334192387920712
2026-03-20,5.805479239391776,4.522090211084671,7.049106688937837,7.063629506452041
2026-03-21,5.80014666581945,4.518495157305365,7.045511635158531,6.439741779965411
2026-03-22,5.798181908852239,4.51519361425118,7.0422100921043445,6.14035194891579
2026-03-23,5.797438034823062,4.512194505360334,7.0392109832135,5.365498012504988
2026-03-24,5.795852385406416,4.509483175682522,7.0364996535356905,5.713355942530264
2026-03-25,5.7924869363693245,4.507036580434503,7.03405305828767,5.564137762405214
2026-03-26,5.787378783440615,4.504831471007331,7.031847948860496,4.818364685379805
2026-03-27,5.7835698917051985,4.502853253892444,7.029869731745611,5.931700755620593
2026-03-28,5.784035640855165,4.501094573772022,7.028111051625189,4.551551773313821
2026-03-29,5.785596564500434,4.49953653108799,7.026553008941154,4.544718565917253
2026-03-30,5.788200665939905,4.4981536343921595,7.025170112245324,3.204615357190368
2026-03-31,5.790429311617191,4.496926148139456,7.023942625992621,1.9393596062258875
2026-04-01,5.790067858091966,4.495838407958572,7.022854885811738,5.456713385659172
2026-04-02,5.787055360759678,4.494884260336649,7.0219007381898155,5.942983493414926
2026-04-03,5.784091529370187,4.494072379927654,7.021088857780817,7.321225534122655
2026-04-04,5.781481182839113,4.493418693892726,7.020435171745893,7.1718484421976845
2026-04-05,5.778884552110352,4.492935947942835,7.019952425796002,4.732711225222828
2026-04-06,5.779211095495179,4.492638844328261,7.019655322181427,6.062167343355061
2026-04-07,5.7777228238978,4.492543404766548,7.019559882619713,6.265097711853132
